,GroupID,SessionID,LocationID,record_id,recording,start_time,end_time,latitude,longitude,Traffic,Other,Human,Natural,Pleasant,Eventful,pleasant,chaotic,vibrant,uneventful,calm,annoying,eventful,monotonous,overall,appropriateness,loudness,sss04,sss05,who01,who02,who03,who04,who05,WHO_sum,Age,Gender,occ00___1,occ00___2,occ00___3,occ00___4,occ00___5,occ00___6,occ00_other,edu00,eth00,eth00_other,misc00,misc01,misc03,misc03_other,use00,uni00,res00___1,res00___2,res00___3,res00___4,res00___5,res02,paper,language,Lockdown,FS_M0,FS_nrmse0,FS,FS_5,FS_10,FS_50,FS_90,FS_95,FS_Min,FS_Max,FS_5_FS_95,FS_10_FS_90,FS_Max_FS_Min,LAeq_M0,LAeq_nrmse0,LAeq,LAeq_5,LAeq_10,LAeq_50,LAeq_90,LAeq_95,LAeq_Min,LAeq_Max,LAeq_5_LAeq_95,LAeq_10_LAeq_90,LAeq_Max_LAeq_Min,N_M0,N_nrmse0,N_M1,N_nrmse1,N_M2,N_nrmse2,N_5,N_10,N_50,N_90,N_95,N_Min,N_Max,N_5_N_95,N_10_N_90,N_Max_N_Min,R_M0,R_nrmse0,R,R_5,R_10,R_50,R_90,R_95,R_Min,R_Max,R_5_R_95,R_10_R_90,R_Max_R_Min,S_M0,S_nrmse0,S_M1,S_nrmse1,S_M2,S_nrmse2,S,S_5,S_10,S_50,S_90,S_95,S_Min,S_Max,S_5_S_95,S_10_S_90,S_Max_S_Min,SIL_M0,SIL_nrmse0,SIL_5,SIL_10,SIL_50,SIL_90,SIL_95,SIL_Min,SIL_Max,SIL_5_SIL_95,SIL_10_SIL_90,SIL_Max_SIL_Min,T_M0,T_nrmse0,T_5,T_10,T_50,T_90,T_95,T_Min,T_Max,T_5_T_95,T_10_T_90,SpectralCentroid,MaxFreq,25,31,40,50,63,80,100,125,160,200,250,315,400,500,630,800,1000,1250,1600,2000,2500,3150,4000,5000,6300,8000,10000,12500,16000,20000,PeakSpectralCentroid,PeakMaxFreq,Peak_25,Peak_31,Peak_40,Peak_50,Peak_63,Peak_80,Peak_100,Peak_125,Peak_160,Peak_200,Peak_250,Peak_315,Peak_400,Peak_500,Peak_630,Peak_800,Peak_1000,Peak_1250,Peak_1600,Peak_2000,Peak_2500,Peak_3150,Peak_4000,Peak_5000,Peak_6300,Peak_8000,Peak_10000,Peak_12500,Peak_16000,Peak_20000,I_M0,I_nrmse0,I,I_5,I_10,I_50,I_90,I_95,I_Min,I_Max,I_5_I_95,I_10_I_90,I_Max_I_Min,LCeq_M0,LCeq_nrmse0,LCeq,LCeq_5,LCeq_10,LCeq_50,LCeq_90,LCeq_95,LCeq_Min,LCeq_Max,LCeq_5_LCeq_95,LCeq_10_LCeq_90,LCeq_Max_LCeq_Min,LZeq_M0,LZeq_nrmse0,LZeq,LZeq_5,LZeq_10,LZeq_50,LZeq_90,LZeq_95,LZeq_Min,LZeq_Max,LZeq_5_LZeq_95,LZeq_10_LZeq_90,LZeq_Max_LZeq_Min,THD_M0,THD_nrmse0,THD_5,THD_10,THD_50,THD_90,THD_95,THD_Min,THD_Max,THD_5_THD_95,THD_10_THD_90,THD_Max_THD_Min
0,CT101,CamdenTown1,CamdenTown,525,11-42_1,2019-05-02 11:40,2019-05-02 11:43,51.539124,-0.142624,4,3,3,2,-0.219669914,0.426776695,2,4,3,2,1,2,4,3,2,3,4,1,2,1,1,3,0,3,32,23,1,1,0,0,0,0,0,,2,1,,,,,,1,3,1,1,0,0,0,,0,English,1,-2.124053513,20.19362884,0.017,0.0317,0.0309,0.0161,0.00599,0.00516,0.00351,0.0501,0.02654,0.02491,0.04659,-2.014211554,12.24038518,70.07,73.76,72.46,69,64.68,63.22,60.85,78.76,10.54,7.78,17.91,-2.594150337,52417.1409,-2.673661293,10.51264186,-1.736119034,2654.967247,31.1,29.4,24.5,18,16.6,14,37.8,14.5,11.4,23.8,-2.715300168,29.15287262,0.0374,0.0527,0.0482,0.0368,0.0273,0.0249,0.0171,0.0755,0.0278,0.0209,0.0584,-2.935784328,21.70641127,-3.02375786,17.38405442,-0.996124663,4.585328051,2.15,2.51,2.41,2.15,1.83,1.77,1.57,3.5,0.74,0.58,1.93,-2.197266221,17.08426399,65.52,64.55,61.32,56.4,54.85,53.3,69.91,10.67,8.15,16.61,-3.454446101,952.8809466,1.25,0.538,0.14,0.0301,0.0213,0,3.41,1.2287,0.5079,2221.65,40,67.61,71.12,71.88,70.65,67.77,65.12,62.43,62.91,63.31,61.73,61.07,60.89,61.04,64.12,63.42,61.7,61.73,57.61,56.33,55.51,53.16,51.06,48.43,43.57,41.48,39.2,37.81,37.3,33.58,24.76,2692.19,40,77.69,82.43,83.09,80.4,78.37,74.35,73.69,72.36,73.95,70.36,70.65,71.4,73.53,78.6,79.22,73.6,76.69,70.32,68.23,68.06,61.87,61.63,58.22,56.82,57.17,53.24,57.93,60.33,57.48,48.83,-2.236096352,23.36988688,0.358,0.484,0.429,0.354,0.287,0.263,0.134,0.748,0.221,0.142,0.614,-1.975434088,10.57872839,77.88,81.94,80.43,77.06,72.32,71.34,68,84.68,10.6,8.11,16.68,-1.969457329,11.07996809,79.72,83.85,82.11,78.85,74.31,73.14,69.71,86.88,10.71,7.8,17.17,-0.645444132,3.276991272,3.13,2.33,-0.45,-4.52,-5.58,-10.77,5.45,8.71,6.85,16.22
1,CT101,CamdenTown1,CamdenTown,526,11-42_1,2019-05-02 11:41,2019-05-02 11:44,51.539124,-0.142624,3,1,2,1,0,0.25,4,3,3,2,2,4,3,2,3,4,2,1,3,3,3,4,4,3,68,22,1,1,0,0,0,0,0,,2,1,,,,,,1,3,1,1,0,0,0,,0,English,1,-2.124053513,20.19362884,0.017,0.0317,0.0309,0.0161,0.00599,0.00516,0.00351,0.0501,0.02654,0.02491,0.04659,-2.014211554,12.24038518,70.07,73.76,72.46,69,64.68,63.22,60.85,78.76,10.54,7.78,17.91,-2.594150337,52417.1409,-2.673661293,10.51264186,-1.736119034,2654.967247,31.1,29.4,24.5,18,16.6,14,37.8,14.5,11.4,23.8,-2.715300168,29.15287262,0.0374,0.0527,0.0482,0.0368,0.0273,0.0249,0.0171,0.0755,0.0278,0.0209,0.0584,-2.935784328,21.70641127,-3.02375786,17.38405442,-0.996124663,4.585328051,2.15,2.51,2.41,2.15,1.83,1.77,1.57,3.5,0.74,0.58,1.93,-2.197266221,17.08426399,65.52,64.55,61.32,56.4,54.85,53.3,69.91,10.67,8.15,16.61,-3.454446101,952.8809466,1.25,0.538,0.14,0.0301,0.0213,0,3.41,1.2287,0.5079,2221.65,40,67.61,71.12,71.88,70.65,67.77,65.12,62.43,62.91,63.31,61.73,61.07,60.89,61.04,64.12,63.42,61.7,61.73,57.61,56.33,55.51,53.16,51.06,48.43,43.57,41.48,39.2,37.81,37.3,33.58,24.76,2692.19,40,77.69,82.43,83.09,80.4,78.37,74.35,73.69,72.36,73.95,70.36,70.65,71.4,73.53,78.6,79.22,73.6,76.69,70.32,68.23,68.06,61.87,61.63,58.22,56.82,57.17,53.24,57.93,60.33,57.48,48.83,-2.236096352,23.36988688,0.358,0.484,0.429,0.354,0.287,0.263,0.134,0.748,0.221,0.142,0.614,-1.975434088,10.57872839,77.88,81.94,80.43,77.06,72.32,71.34,68,84.68,10.6,8.11,16.68,-1.969457329,11.07996809,79.72,83.85,82.11,78.85,74.31,73.14,69.71,86.88,10.71,7.8,17.17,-0.645444132,3.276991272,3.13,2.33,-0.45,-4.52,-5.58,-10.77,5.45,8.71,6.85,16.22
2,CT101,CamdenTown1,CamdenTown,561,11-42_1,2019-05-02 11:40,2019-05-02 11:43,,,4,3,4,2,-0.469669914,0.176776695,3,4,2,1,1,4,2,4,3,2,4,1,3,4,4,3,4,4,76,24,2,1,0,0,0,0,0,,2,1,,,,2,,1,3,1,1,0,0,0,,1,English,1,-2.124053513,20.19362884,0.017,0.0317,0.0309,0.0161,0.00599,0.00516,0.00351,0.0501,0.02654,0.02491,0.04659,-2.014211554,12.24038518,70.07,73.76,72.46,69,64.68,63.22,60.85,78.76,10.54,7.78,17.91,-2.594150337,52417.1409,-2.673661293,10.51264186,-1.736119034,2654.967247,31.1,29.4,24.5,18,16.6,14,37.8,14.5,11.4,23.8,-2.715300168,29.15287262,0.0374,0.0527,0.0482,0.0368,0.0273,0.0249,0.0171,0.0755,0.0278,0.0209,0.0584,-2.935784328,21.70641127,-3.02375786,17.38405442,-0.996124663,4.585328051,2.15,2.51,2.41,2.15,1.83,1.77,1.57,3.5,0.74,0.58,1.93,-2.197266221,17.08426399,65.52,64.55,61.32,56.4,54.85,53.3,69.91,10.67,8.15,16.61,-3.454446101,952.8809466,1.25,0.538,0.14,0.0301,0.0213,0,3.41,1.2287,0.5079,2221.65,40,67.61,71.12,71.88,70.65,67.77,65.12,62.43,62.91,63.31,61.73,61.07,60.89,61.04,64.12,63.42,61.7,61.73,57.61,56.33,55.51,53.16,51.06,48.43,43.57,41.48,39.2,37.81,37.3,33.58,24.76,2692.19,40,77.69,82.43,83.09,80.4,78.37,74.35,73.69,72.36,73.95,70.36,70.65,71.4,73.53,78.6,79.22,73.6,76.69,70.32,68.23,68.06,61.87,61.63,58.22,56.82,57.17,53.24,57.93,60.33,57.48,48.83,-2.236096352,23.36988688,0.358,0.484,0.429,0.354,0.287,0.263,0.134,0.748,0.221,0.142,0.614,-1.975434088,10.57872839,77.88,81.94,80.43,77.06,72.32,71.34,68,84.68,10.6,8.11,16.68,-1.969457329,11.07996809,79.72,83.85,82.11,78.85,74.31,73.14,69.71,86.88,10.71,7.8,17.17,-0.645444132,3.276991272,3.13,2.33,-0.45,-4.52,-5.58,-10.77,5.45,8.71,6.85,16.22
3,CT102,CamdenTown1,CamdenTown,560,11-50_2,2019-05-02 11:50,2019-05-02 11:53,,,3,2,4,1,0.103553391,-0.75,4,2,2,5,5,3,2,5,2,4,3,1,2,4,3,3,4,5,76,28,1,1,0,0,0,0,0,,5,1,,,,2,,1,1,1,1,0,0,0,,1,English,1,-2.157419419,20.71240808,0.0179,0.0409,0.0359,0.0148,0.00854,0.00777,0.00496,0.0566,0.03313,0.02736,0.05164,-2.306440541,24.44194946,71.26,76.38,74.03,69.8,65.65,65.03,63.93,80.38,11.35,8.38,16.45,-2.659482299,144214.5535,-2.740568288,10.6524032,-1.813696623,5188.615972,34.5,31.2,24.5,18.8,18.2,16,48.2,16.3,12.4,32.2,-2.206141607,26.64496205,0.0446,0.0654,0.0561,0.0405,0.0313,0.0295,0.0233,0.253,0.0359,0.0248,0.2297,-2.829937959,18.5342157,-2.894122633,17.15116097,-1.323982445,4.156681308,2.19,2.76,2.55,2.12,1.87,1.83,1.7,3.74,0.93,0.68,2.04,-2.486303621,46.27159484,66.58,65.55,61.67,57.24,56.76,55.37,72.21,9.82,8.31,16.84,-3.430453919,592.2237192,0.809,0.551,0.186,0.0654,0.0496,0,1.64,0.7594,0.4856,2301.19,50,66.84,66.97,68.4,69.5,69.42,67.51,63.18,59.02,59.66,60.95,60.81,62.68,63.32,65.12,65.05,63.92,61.98,58.26,57.71,54.79,53.42,51.57,48.82,44.78,43.06,42.59,39.63,37.91,35.05,27.65,2563.22,80,80.73,80.07,79.96,80.8,81.11,82.35,77.99,68.24,69.69,70.62,71.5,77.62,75.9,81.68,78.89,76.92,73.59,69.39,71.32,68.44,66.16,65.49,63.22,58.21,57.16,59.01,55.79,53.71,50.08,43.81,-2.519072693,25.13127363,0.362,0.461,0.435,0.352,0.299,0.281,0.157,0.645,0.18,0.136,0.488,-2.161858895,15.16400947,77.51,82.47,80.57,76.24,72.75,72.35,70.28,85.28,10.12,7.82,15,-2.222311535,47.60335207,80.27,84.76,83.45,79,75.15,74.49,72.14,88.81,10.27,8.3,16.67,-0.508978198,3.089173793,3.09,2.52,0.28,-2.39,-3.37,-7.04,5.72,6.46,4.91,12.76
4,CT103,CamdenTown1,CamdenTown,527,11-52_3,2019-05-02 11:49,2019-05-02 11:54,51.539124,-0.142624,4,2,4,1,0.25,0.75,3,4,5,1,2,2,4,1,3,4,3,3,3,2,2,1,0,3,32,56,1,1,0,0,0,0,0,,,1,,,,,,3,1,1,1,0,0,0,,0,English,1,-1.986847051,21.8916038,0.00889,0.0174,0.0146,0.00757,0.00484,0.00418,0.00392,0.0222,0.01322,0.00976,0.01828,-2.233013472,14.32064183,66.71,69.76,68.74,65.97,64.51,64.24,62.7,74.6,5.52,4.23,11.9,-2.436091096,3991.328298,-2.530704955,10.65732962,-1.821782802,692.845523,24.7,22.6,19.6,17.9,17.5,15.9,31,7.2,4.7,15.1,-2.210399719,27.22216671,0.0369,0.0502,0.0465,0.0361,0.0285,0.0268,0.0189,0.0653,0.0234,0.018,0.0464,-2.628536416,16.87051851,-2.718370687,16.70308965,-1.31839472,5.744569842,2,2.23,2.18,1.99,1.83,1.78,1.67,2.82,0.45,0.35,1.15,-2.280360496,14.33345456,61.55,60.47,57.94,56.28,56.02,55,64.37,5.53,4.19,9.37,-3.462109809,760.9951305,0.536,0.401,0.133,0.0333,0.0235,0,2.31,0.5125,0.3677,2207.79,50,64.18,66.05,67.04,67.19,66.44,61.54,59.23,59.3,59.3,58.51,58.9,58.39,58.62,58.9,60.04,59.81,57.92,56.07,53.96,51.59,49.25,46.95,44.84,40.06,38.1,36.37,41.07,32.53,30.32,23.77,2564.46,25,77.13,75.09,75.11,75.72,75.99,70.17,70.43,68.51,70.23,70.47,68.09,67.82,69.12,68.52,71.79,75.23,66.66,75.46,62.98,63.79,62.84,56.87,63.46,57.45,49.32,48.77,60.07,47.32,45.77,42.35,-2.191129859,23.20364334,0.37,0.498,0.455,0.358,0.302,0.289,0.255,0.649,0.209,0.153,0.394,-2.059326828,11.63490492,74.32,76.78,76.24,73.81,72.25,71.95,70.79,78.16,4.83,3.99,7.37,-2.098181684,17.67616877,76.79,79.52,78.86,76.25,74.35,73.95,72.68,82.05,5.57,4.51,9.37,-0.290368699,3.149666606,3.16,2.4,-0.15,-3.17,-4.15,-7.91,5.59,7.31,5.57,13.5
5,CT104,CamdenTown1,CamdenTown,528,12-02_4,2019-05-02 11:52,2019-05-02 12:03,51.539124,-0.142624,4,3,2,1,0.073223305,0.676776695,2,4,5,1,2,2,4,2,2,3,4,2,3,4,3,2,1,4,56,18,1,0,1,0,0,0,0,,1,1,,,,,,1,1,1,1,0,0,0,There was alarm whistle passing.,0,English,1,-2.378405074,22.57078793,0.0146,0.032,0.026,0.0115,0.0077,0.0074,0.0052,0.0472,0.0246,0.0183,0.042,-2.49194442,117.6785592,72.47,76.62,75.54,71.04,68.57,68.26,67.17,78.36,8.36,6.97,11.19,-2.682270791,384651.9039,-2.792796912,10.44040021,-1.932027805,3773.271239,38.7,35.9,27.8,23.8,23.4,21.8,43.9,15.3,12.1,22.1,-2.417075125,27.97742952,0.0413,0.0576,0.0526,0.0402,0.031,0.0286,0.0234,0.0863,0.029,0.0216,0.0629,-2.920347701,25.68595652,-3.014814951,16.96121173,-1.005500737,4.447909949,2.38,2.88,2.72,2.35,2.09,2.04,1.86,3.27,0.84,0.63,1.41,-2.576571909,154.0903151,69.21,67.61,63.67,60.69,60.35,59.55,71.04,8.86,6.92,11.49,-2.950706319,18.27894477,0.598,0.45,0.155,0.037,0.0231,0,1.64,0.5749,0.413,2341.52,63,67.9,68.85,69.91,70.66,70.85,66.9,65.19,67,65.16,62.77,63.46,63.2,63.11,63.32,65.84,65.17,63.33,60.87,59.36,56.7,55.15,53.5,51.77,47.67,45.14,44.71,41.13,39.63,35.35,31.39,2633.38,125,79.88,79.26,78.77,79.3,79.47,74.97,77.96,80.49,74.52,72.1,74.6,75.99,75,74.28,78.95,77.37,73.96,72.66,69.33,67.84,62.84,62.95,63.31,60.35,56.62,60.3,54.74,52.01,52.84,51.08,-2.0075923,21.45506435,0.393,0.516,0.483,0.38,0.321,0.308,0.266,0.774,0.208,0.162,0.508,-2.008483102,10.44887929,78.79,80.9,80.61,78.42,76.82,76.47,74.7,82.29,4.43,3.79,7.59,-1.994376906,10.57742318,80.13,82.09,81.58,79.88,78.39,77.87,76.62,83.83,4.22,3.19,7.21,-0.518031299,3.18160723,3.98,3.08,0.36,-2.24,-3.27,-7.29,6.03,7.25,5.32,13.32
6,CT107,CamdenTown1,CamdenTown,559,12-20_7,2019-05-02 12:20,2019-05-02 12:25,,,4,3,3,2,0.073223305,0.366116524,4,4,4,3,2,4,3,1,4,4,3,4,4,3,4,2,2,3,56,64,1,0,0,1,0,0,0,,4,1,,,,1,,1,1,1,1,0,0,0,,1,English,1,-1.852143706,17.43105732,0.0247,0.0504,0.045,0.0203,0.0122,0.0104,0.00668,0.0579,0.04,0.0328,0.05122,-2.057264292,15.91731879,68.32,72.46,71.67,66.67,63.12,62.66,60.61,76.06,9.8,8.55,15.45,-2.754151713,376194.4344,-2.86521083,10.87862194,-1.571447124,524.575625,29.3,27.7,19.8,16.4,15.9,13.6,36.7,13.4,11.3,23.1,-2.819074965,29.5715424,0.0379,0.0541,0.0487,0.0363,0.0287,0.0271,0.0186,0.0839,0.027,0.02,0.0653,-2.999017136,44.34578588,-3.113708589,16.99451035,-1.406638127,5.101500787,2.05,2.49,2.4,2,1.78,1.75,1.61,3.19,0.74,0.62,1.58,-2.115484986,17.19202405,65.09,64.12,58.47,54.87,54.47,52.39,68.56,10.62,9.25,16.17,-3.736826546,45841.1719,0.925,0.694,0.197,0.0508,0.0359,0,2.17,0.8891,0.6432,2303.99,25,69.92,69.42,69.36,68.52,66.93,62.91,61.29,61.6,61.06,59.7,59.39,59.99,59.71,60.8,62.14,61.04,58.03,55.2,55.59,53.63,50.06,48.34,47.68,40.71,41.11,38.34,38.75,39.26,35.68,27.29,2713.96,63,76.89,79.32,79.17,78.81,79.62,77.12,77.33,75.31,74.33,77.36,74.56,70.38,73.39,73.65,77.51,74.07,70.82,67.27,71.68,70.51,60.52,60.9,60.26,51.9,57.94,51.92,59.89,62.39,57.42,50.55,-2.139123531,21.93827215,0.426,0.649,0.552,0.402,0.319,0.3,0.261,1.23,0.349,0.233,0.969,-2.087896354,13.18257477,76.32,79.58,78.84,75.37,73.24,72.64,71.22,81.75,6.94,5.6,10.53,-2.043572867,11.76099429,78.52,81.27,80.51,78.15,75.81,75.16,73.58,83.24,6.11,4.7,9.66,-0.92239245,4.431644557,1.86,0.79,-2.54,-6.18,-7.25,-10.16,4.9,9.11,6.97,15.06
7,CT108,CamdenTown1,CamdenTown,531,12-24_8,2019-05-02 12:10,2019-05-02 12:26,51.539124,-0.142624,3,2,2,1,-0.146446609,0.146446609,3,3,3,3,1,3,3,3,3,3,3,1,2,4,2,4,3,4,68,63,2,1,0,0,0,0,0,,5,1,,,,,,3,1,1,1,0,0,0,,0,English,1,-2.399204433,22.27529787,0.0157,0.0372,0.0314,0.00994,0.00581,0.00549,0.00426,0.0437,0.03171,0.02559,0.03944,-2.094095055,11.62426747,70.95,74.87,74.06,70.2,64.87,64.37,63.27,75.69,10.5,9.19,12.42,-2.362415457,2121.280986,-2.436603603,9.915034502,-1.954167594,2340.452942,34.3,32.6,26,18,17.2,15.3,38.5,17.1,14.6,23.2,-3.473954249,31.07887795,0.041,0.0571,0.0522,0.0394,0.031,0.0291,0.0219,0.153,0.028,0.0212,0.1311,-2.359718339,16.13069753,-2.396971749,16.13991903,-1.644891401,4.832899724,2.26,2.67,2.6,2.26,1.91,1.84,1.7,2.96,0.83,0.69,1.26,-1.959452033,9.80494213,66.66,66.06,62.35,56.54,55.9,54.77,68.72,10.76,9.52,13.95,-3.254402955,59.09996235,0.481,0.39,0.13,0.0398,0.0285,0,2.23,0.4525,0.3502,2233.83,50,68.39,68.9,69.93,70.22,68.28,66.14,64.85,62.86,63.23,61.61,60.98,61.5,62.19,63.2,65.51,63.69,61.65,59.34,56.8,54.95,54.39,51.85,50.07,45.38,44.32,41.49,39.26,37.74,32.58,24.41,2484.89,31.5,78.79,80.6,80.35,79.84,79.28,75.58,75.59,74.72,73.82,71.29,68.82,70.76,71.5,73.53,77.56,75.37,72.05,70.98,67.08,65.14,64.01,60.97,58.69,55.76,53.75,51.91,51.83,53.36,46.19,39.73,-2.057334556,22.0310305,0.374,0.501,0.449,0.356,0.305,0.296,0.274,0.968,0.205,0.144,0.694,-1.990766703,10.08919532,77.71,81.27,80.7,77.36,71.84,71.26,69.69,82.43,10.01,8.86,12.74,-2.086624305,12.17967927,79.7,83.15,82.68,79.02,73.77,73.31,71.28,84.97,9.84,8.91,13.69,-0.269247473,3.886043196,3.31,2.87,0.19,-2.66,-3.81,-6.28,5.17,7.12,5.53,11.45
8,CT109,CamdenTown1,CamdenTown,532,12-27_9,2019-05-02 12:16,2019-05-02 12:28,51.539124,-0.142624,4,3,5,1,0.103553391,1,3,5,5,1,1,2,5,1,4,5,5,3,5,5,4,5,0,4,72,19,2,0,0,0,1,0,0,,3,4,,,,,,4,3,1,1,0,0,0,,0,English,1,-2.22596776,20.4174815,0.0274,0.0599,0.0435,0.0228,0.0139,0.0134,0.0115,0.0878,0.0465,0.0296,0.0763,-2.593267263,439.5531907,69.75,73.72,72.64,68.76,66,65.71,64.39,76.62,8.01,6.64,12.23,-2.764519913,532817.541,-2.883565715,10.85009861,-1.54773742,456.4394653,30.1,28.4,22.5,19.5,19.1,17.2,38,11,8.9,20.8,-2.338908428,27.68113545,0.0411,0.0679,0.0536,0.0369,0.0291,0.0277,0.0201,0.18,0.0402,0.0245,0.1599,-2.979447549,36.66342039,-3.099294285,17.01657518,-0.767747211,5.079859511,2.11,2.47,2.34,2.08,1.91,1.87,1.73,3.01,0.6,0.43,1.28,-2.629163424,270.2796596,64.72,63.84,60.2,57.81,57.48,56.47,68.11,7.24,6.03,11.64,-3.655157893,10781.42592,0.705,0.586,0.241,0.0779,0.0527,0,1.57,0.6523,0.5081,2394.83,63,67.3,66.82,67.72,68.92,68.94,64.47,65.04,61.9,61.66,60.7,59.68,59.93,62.96,62.48,63.54,62.81,60.46,57.18,55,52.15,50.3,48.59,47.61,42.94,40.89,39.93,38.73,38.18,45.73,29.31,2801.69,25,81.56,79.22,78.35,77.81,78.43,74.74,77.02,72.15,70.17,71.44,69.11,71.19,75.74,75.86,78.34,76.66,73.26,68.43,66.25,64.07,60.05,61.55,59.19,55.85,54.16,54.95,53.58,54.85,73.49,52.91,-1.980466964,20.52840695,0.407,0.57,0.514,0.386,0.322,0.296,0.221,1.02,0.274,0.192,0.799,-2.128222475,13.9469603,76.74,79.64,79.15,76.09,73.73,73.29,71.61,81.16,6.35,5.42,9.55,-2.295852163,132.9666569,80.1,83.72,82.55,79.09,76.23,75.64,74.22,88.13,8.08,6.32,13.91,-0.589602144,3.361227422,3.47,2.64,0.17,-1.93,-2.9,-7.56,6.45,6.37,4.57,14.01
9,CT109,CamdenTown1,CamdenTown,557,12-27_9,2019-05-02 12:16,2019-05-02 12:28,,,3,1,3,1,-0.116116524,0.323223305,4,5,3,3,2,3,4,3,2,3,4,3,4,4,4,3,2,3,64,19,2,0,0,0,1,0,0,,3,3,,,,1,,4,3,1,1,0,0,0,,1,English,1,-2.22596776,20.4174815,0.0274,0.0599,0.0435,0.0228,0.0139,0.0134,0.0115,0.0878,0.0465,0.0296,0.0763,-2.593267263,439.5531907,69.75,73.72,72.64,68.76,66,65.71,64.39,76.62,8.01,6.64,12.23,-2.764519913,532817.541,-2.883565715,10.85009861,-1.54773742,456.4394653,30.1,28.4,22.5,19.5,19.1,17.2,38,11,8.9,20.8,-2.338908428,27.68113545,0.0411,0.0679,0.0536,0.0369,0.0291,0.0277,0.0201,0.18,0.0402,0.0245,0.1599,-2.979447549,36.66342039,-3.099294285,17.01657518,-0.767747211,5.079859511,2.11,2.47,2.34,2.08,1.91,1.87,1.73,3.01,0.6,0.43,1.28,-2.629163424,270.2796596,64.72,63.84,60.2,57.81,57.48,56.47,68.11,7.24,6.03,11.64,-3.655157893,10781.42592,0.705,0.586,0.241,0.0779,0.0527,0,1.57,0.6523,0.5081,2394.83,63,67.3,66.82,67.72,68.92,68.94,64.47,65.04,61.9,61.66,60.7,59.68,59.93,62.96,62.48,63.54,62.81,60.46,57.18,55,52.15,50.3,48.59,47.61,42.94,40.89,39.93,38.73,38.18,45.73,29.31,2801.69,25,81.56,79.22,78.35,77.81,78.43,74.74,77.02,72.15,70.17,71.44,69.11,71.19,75.74,75.86,78.34,76.66,73.26,68.43,66.25,64.07,60.05,61.55,59.19,55.85,54.16,54.95,53.58,54.85,73.49,52.91,-1.980466964,20.52840695,0.407,0.57,0.514,0.386,0.322,0.296,0.221,1.02,0.274,0.192,0.799,-2.128222475,13.9469603,76.74,79.64,79.15,76.09,73.73,73.29,71.61,81.16,6.35,5.42,9.55,-2.295852163,132.9666569,80.1,83.72,82.55,79.09,76.23,75.64,74.22,88.13,8.08,6.32,13.91,-0.589602144,3.361227422,3.47,2.64,0.17,-1.93,-2.9,-7.56,6.45,6.37,4.57,14.01
