"GroupID","LocationID","Lockdown","ISOPleasant","ISOEventful","Human","Traffic","Natural","N5","S","R","I","FS","LAeq","LA10_LA90","LCeq_LAeq","SIL3"
"CT501","CamdenTown","1",0.0718369263757729,0.164759450073137,3.16531581035152,3.82674927985137,2.10621658312529,18.1,1.56,0.0371,0.361,0.007,59.44,12.32,9.35000000000001,46.95
"CT502","CamdenTown","1",-0.0570432007823072,0.384794403641882,3.27135517804176,3.76495872887625,1.48871550404757,35.2,1.92,0.0387,0.339,0.00656,69.67,15.15,7.19,57.73
"CT503","CamdenTown","1",-0.059380095865886,0.468287566526935,3.33049520291135,3.73248709778516,1.28878026514123,37.7,1.91,0.0428,0.37,0.0139,72.93,21.23,6.31999999999999,60.66
"CT504","CamdenTown","1",0.0480878715676631,0.230549305072286,3.18986068943958,3.85318387458778,1.89554329757014,19.6,1.79,0.0318,0.462,0.0182,62.28,8.98999999999999,7.76000000000001,51.59
"CT505","CamdenTown","1",-0.0572166565934126,0.363202620828854,3.26395201812383,3.81079103846908,1.57316040474753,35.7,1.88,0.0355,0.34,0.0114,68.39,17.59,6.55,56.76
"CT506","CamdenTown","1",0.0491533221419851,0.274517008176524,3.23332768122164,3.80285688901848,1.89327843359028,19.4,1.66,0.0345,0.334,0.0199,63.66,8.03,5.73,51.95
"CT507","CamdenTown","1",-0.109035059416739,0.433250277254214,3.29063366687257,3.78269858807519,1.36623711128567,41.9,2.06,0.0414,0.332,0.0111,71.87,15.08,5.61,60.78
"CT508","CamdenTown","1",0.0558623382554853,0.196780288612723,3.17234085464895,3.87541443787744,1.98424977696154,18.2,1.76,0.031,0.363,0.0201,60.5,7.81,7.89,50.24
"CT509","CamdenTown","1",-0.0190838123068695,0.33597367166539,3.22406844516933,3.87085146240948,1.62334673566364,29.2,2.08,0.0382,0.336,0.00663,67.45,11.18,5.58,57.61
"CT510","CamdenTown","1",0.0233510179302011,0.308147651482609,3.23302205759053,3.77206766570338,1.68814555359392,22.3,1.83,0.0386,0.338,0.00553,65.12,5.84999999999999,7.81,54.42
"CT511","CamdenTown","1",0.0184563773836874,0.260542256856772,3.21311955901307,3.75000651146716,1.73246420265466,24.4,1.71,0.0367,0.533,0.00673,63.5,11.23,11.11,51.63
"CT512","CamdenTown","1",0.0192083168416381,0.282901443936726,3.22093244333056,3.78801899246683,1.73066762063963,24.1,1.78,0.0368,0.419,0.00532,64.21,10.53,8.96000000000001,53.06
"CT514","CamdenTown","1",-0.0238047178603182,0.346192229129741,3.26144959789503,3.70768437594227,1.52294653461201,30.2,1.8,0.041,0.385,0.0127,67.57,11.75,9.69000000000001,55.46
"CT515","CamdenTown","1",0.0112730164032919,0.332296602803411,3.25044417285493,3.77244516153733,1.67557089011344,24.2,1.82,0.0395,0.349,0.00717,66.14,6.88,6.48,55.18
