"GroupID","LocationID","Lockdown","ISOPleasant","ISOEventful","Human","Traffic","Natural","PA","N5","S","R","I","FS","T","LAeq","LA10_LA90","LCeq_LAeq","SIL3"
"CT501","CamdenTown","1",0.0718369263757729,0.0936386482896905,3.02834694460949,3.25568583925959,2.10621658312529,18.4104879180151,18.1,1.56,0.0371,0.361,0.007,0.175,59.44,12.32,9.35000000000001,46.95
"CT502","CamdenTown","1",-0.0570432007823072,0.389194463806393,3.11761121092933,3.61956772441417,1.48871550404757,37.7216602799788,35.2,1.92,0.0387,0.339,0.00656,0.287,69.67,15.15,7.19,57.73
"CT503","CamdenTown","1",-0.059380095865886,0.486188094262394,3.18693351617347,3.74449183551368,1.28878026514123,40.3016083843987,37.7,1.91,0.0428,0.37,0.0139,0.181,72.93,21.23,6.31999999999999,60.66
"CT504","CamdenTown","1",0.0480878715676631,0.191841712449736,3.28000522460175,3.48846654748365,1.89554329757014,20.0477908572637,19.6,1.79,0.0318,0.462,0.0182,0.177,62.28,8.98999999999999,7.76000000000001,51.59
"CT505","CamdenTown","1",-0.0572166565934126,0.364821755853457,3.04861187756629,3.57018467844278,1.57316040474753,37.6852196982505,35.7,1.88,0.0355,0.34,0.0114,0.267,68.39,17.59,6.55,56.76
"CT506","CamdenTown","1",0.0491533221419851,0.25087397514238,3.2798620994795,3.46324865325461,1.89327843359028,19.7701806533735,19.4,1.66,0.0345,0.334,0.0199,0.257,63.66,8.03,5.73,51.95
"CT507","CamdenTown","1",-0.109035059416739,0.465702383781798,3.0163702302081,3.78285147982979,1.36623711128567,47.5018327171227,41.9,2.06,0.0414,0.332,0.0111,0.226,71.87,15.08,5.61,60.78
"CT508","CamdenTown","1",0.0558623382554853,0.149751263485564,3.25210837135138,3.35340180597181,1.98424977696154,18.5376669315365,18.2,1.76,0.031,0.363,0.0201,0.33,60.5,7.81,7.89,50.24
"CT509","CamdenTown","1",-0.0190838123068695,0.362337936599483,3.13247920695325,3.72701612891342,1.62334673566364,33.0613698924487,29.2,2.08,0.0382,0.336,0.00663,0.16,67.45,11.18,5.58,57.61
"CT510","CamdenTown","1",0.0233510179302011,0.295785463307667,3.23016463556749,3.63747317409626,1.68814555359392,23.0615815332343,22.3,1.83,0.0386,0.338,0.00553,0.167,65.12,5.84999999999999,7.81,54.42
"CT511","CamdenTown","1",0.0184563773836874,0.198385648361767,3.22306309145994,3.48690794981465,1.73246420265466,24.7662674161383,24.4,1.71,0.0367,0.533,0.00673,0.138,63.5,11.23,11.11,51.63
"CT512","CamdenTown","1",0.0192083168416381,0.251799731871823,3.14174799116644,3.58724674525838,1.73066762063963,24.5512124505876,24.1,1.78,0.0368,0.419,0.00532,0.0816,64.21,10.53,8.96000000000001,53.06
"CT514","CamdenTown","1",-0.0238047178603182,0.309037600762024,3.15904131019432,3.59816950367329,1.52294653461201,30.9852982815147,30.2,1.8,0.041,0.385,0.0127,0.21,67.57,11.75,9.69000000000001,55.46
"CT515","CamdenTown","1",0.0112730164032919,0.333400560749918,3.35633614573653,3.55241097595598,1.67557089011344,24.958678989981,24.2,1.82,0.0395,0.349,0.00717,0.349,66.14,6.88,6.48,55.18
"CT516","CamdenTown","1",-0.0654419086433663,0.421156057225138,3.06562987539982,3.6450722593304,1.48432946865615,43.560702327361,39.3,2,0.0716,0.371,0.0104,0.263,71.66,16.07,5.58,58.98
"CT517","CamdenTown","1",0.00468191827863038,0.263079560906286,3.42857294546154,3.53541205369336,1.67164455206539,28.5819571141569,25.9,2.01,0.0359,0.463,0.0409,0.385,66.47,10.73,6.78,56.05
"CT518","CamdenTown","1",-0.0372872689164401,0.210590577655151,3.02133467903123,3.4136720132389,1.72836024400866,30.9284772390546,30.3,1.79,0.0323,0.316,0.0105,0.37,64.07,8.97000000000001,10.27,52.5
"CT519","CamdenTown","1",-0.0736043682948041,0.346910303263308,3.04820613668121,3.6525276813814,1.36996582176969,39.7778625012536,37.8,1.87,0.0413,0.434,0.00729,0.17,69.62,16.17,10.9,57.18
"CT520","CamdenTown","1",0.0110519533340246,0.331526620475621,3.24386043844611,3.67908170168841,1.57101475210046,26.0083896882318,24.8,1.87,0.038,0.355,0.00655,0.153,66.5,9.16,8.2,55.93
"CT521","CamdenTown","1",-0.0772755645487048,0.336941220835104,2.92510578050968,3.59791240096551,1.5209862783463,41.0967406170219,39.3,1.85,0.0528,0.409,0.00693,0.165,69.53,16.41,8.84999999999999,56.15
"CT522","CamdenTown","1",-0.000972431501790189,0.306096756890679,3.10239325804825,3.68991072490349,1.6641620380151,28.9316619008551,26.6,1.97,0.045,0.344,0.00494,0.114,66.18,8.20999999999999,7.47999999999999,55.6
"CT523","CamdenTown","1",-0.0801868291299676,0.382887852057729,3.18445879586828,3.78091576768022,1.3282053343883,46.0689586320754,37.3,2.31,0.049,0.4,0.00919,0.312,71.03,9.74,8.94,60.91
"CT524","CamdenTown","1",-0.0137083073264648,0.216635915955183,3.38158971673468,3.38093993629585,1.62627080739443,27.6828148270262,26.9,1.8,0.0376,0.377,0.0357,0.565,64.67,6.03,10.2,53.89
"CT525","CamdenTown","1",-0.0566353726135999,0.335450320624946,3.14106229107836,3.66586641654837,1.39462107440831,37.8506512505366,33.8,2.04,0.0392,0.35,0.00741,0.295,68.61,10.61,10.49,57.93
"CT526","CamdenTown","1",0.0183892333758552,0.247174004825084,3.26915195608633,3.59570790994336,1.6371994003176,23.634266399007,23.2,1.74,0.04,0.435,0.0155,0.157,65.65,6.38,10.19,53.45
"CT527","CamdenTown","1",-0.0982634961759273,0.401703182234277,3.08363719940187,3.48681472173227,1.38554233130022,53.6143729260403,48.5,1.97,0.133,0.498,0.0221,0.449,73.65,15.85,7.36,59.22
"CT528","CamdenTown","1",-0.131939623189117,0.472394924094959,2.96070143450993,3.82451576851688,1.37486726366015,52.9718049619155,44.3,2.2,0.0471,0.317,0.00848,0.26,72.67,12.01,5,61.68
"CT529","CamdenTown","1",0.0767227766540263,0.131536176431091,3.2088043699592,3.32867928033133,2.00229146128964,15.5533303059216,15.3,1.54,0.033,0.355,0.00704,0.233,59.51,6.3,9.65,48.03
"CT530","CamdenTown","1",-0.033811862157224,0.358799143829119,3.14329329928539,3.69045291816831,1.49201733750075,31.6359675917563,31.1,1.77,0.0399,0.391,0.00921,0.126,67.99,10.91,8.55000000000001,56.26
