"GroupID","LocationID","Lockdown","ISOPleasant","ISOEventful","Human","Traffic","Natural","PA","N5","S","R","I","FS","T","LAeq","LA10_LA90","LC_LA"
"CT501","CamdenTown","1",0.150802819244699,0.220010101522477,NA,NA,NA,18.4104879180151,18.1,1.56,0.0371,0.361,0.007,0.175,59.44,12.32,9.35000000000001
"CT502","CamdenTown","1",-0.0317904904616973,0.392472755033452,NA,NA,NA,37.7216602799788,35.2,1.92,0.0387,0.339,0.00656,0.287,69.67,15.15,7.19
"CT503","CamdenTown","1",-0.0836285531412021,0.431894786913256,NA,NA,NA,40.3016083843987,37.7,1.91,0.0428,0.37,0.0139,0.181,72.93,21.23,6.31999999999999
"CT504","CamdenTown","1",0.118427578395084,0.227589924539349,NA,NA,NA,20.0477908572637,19.6,1.79,0.0318,0.462,0.0182,0.177,62.28,8.98999999999999,7.76000000000001
"CT505","CamdenTown","1",-0.00224133693431589,0.362614050333115,NA,NA,NA,37.6852196982505,35.7,1.88,0.0355,0.34,0.0114,0.267,68.39,17.59,6.55
"CT506","CamdenTown","1",0.119179483297577,0.287113111971641,NA,NA,NA,19.7701806533735,19.4,1.66,0.0345,0.334,0.0199,0.257,63.66,8.03,5.73
"CT507","CamdenTown","1",-0.0659737842722907,0.398950515227205,NA,NA,NA,47.5018327171227,41.9,2.06,0.0414,0.332,0.0111,0.226,71.87,15.08,5.61
"CT508","CamdenTown","1",0.150528847990846,0.220003428282677,NA,NA,NA,18.5376669315365,18.2,1.76,0.031,0.363,0.0201,0.33,60.5,7.81,7.89
"CT509","CamdenTown","1",0.0341303622247927,0.300756600409534,NA,NA,NA,33.0613698924487,29.2,2.08,0.0382,0.336,0.00663,0.16,67.45,11.18,5.58
"CT510","CamdenTown","1",0.0643535463722838,0.294504125493702,NA,NA,NA,23.0615815332343,22.3,1.83,0.0386,0.338,0.00553,0.167,65.12,5.84999999999999,7.81
"CT511","CamdenTown","1",0.0495024800551413,0.273375686480733,NA,NA,NA,24.7662674161383,24.4,1.71,0.0367,0.533,0.00673,0.138,63.5,11.23,11.11
"CT512","CamdenTown","1",0.0632572938397201,0.269183366733664,NA,NA,NA,24.5512124505876,24.1,1.78,0.0368,0.419,0.00532,0.0816,64.21,10.53,8.96000000000001
"CT514","CamdenTown","1",-0.0141205656067837,0.346602846068579,NA,NA,NA,30.9852982815147,30.2,1.8,0.041,0.385,0.0127,0.21,67.57,11.75,9.69000000000001
"CT515","CamdenTown","1",0.0593452472549427,0.346070023921927,NA,NA,NA,24.958678989981,24.2,1.82,0.0395,0.349,0.00717,0.349,66.14,6.88,6.48
"CT516","CamdenTown","1",-0.0562798905736511,0.411249674442102,NA,NA,NA,43.560702327361,39.3,2,0.0716,0.371,0.0104,0.263,71.66,16.07,5.58
"CT517","CamdenTown","1",0.0437178530820551,0.284264969538408,NA,NA,NA,28.5819571141569,25.9,2.01,0.0359,0.463,0.0409,0.385,66.47,10.73,6.78
"CT518","CamdenTown","1",0.040877928944067,0.30778647691162,NA,NA,NA,30.9284772390546,30.3,1.79,0.0323,0.316,0.0105,0.37,64.07,8.97000000000001,10.27
"CT519","CamdenTown","1",-0.078555806990699,0.377863615280474,NA,NA,NA,39.7778625012536,37.8,1.87,0.0413,0.434,0.00729,0.17,69.62,16.17,10.9
"CT520","CamdenTown","1",0.0304135684246855,0.312578547064632,NA,NA,NA,26.0083896882318,24.8,1.87,0.038,0.355,0.00655,0.153,66.5,9.16,8.2
"CT521","CamdenTown","1",-0.0545018882586199,0.378724554905837,NA,NA,NA,41.0967406170219,39.3,1.85,0.0528,0.409,0.00693,0.165,69.53,16.41,8.84999999999999
"CT522","CamdenTown","1",0.0404654300288607,0.286160239091976,NA,NA,NA,28.9316619008551,26.6,1.97,0.045,0.344,0.00494,0.114,66.18,8.20999999999999,7.47999999999999
"CT523","CamdenTown","1",-0.0877482066656576,0.361035424871393,NA,NA,NA,46.0689586320754,37.3,2.31,0.049,0.4,0.00919,0.312,71.03,9.74,8.94
