"GroupID","LocationID","Lockdown","ISOPleasant","ISOEventful","PA","N5","S","R","I","FS","T","LAeq","LA10_LA90","LC_LA","RA"
"CT501","CamdenTown","1",0.130902292729278,0.216114241605165,18.4104879180151,18.1,1.56,0.0371,0.361,0.007,0.175,59.44,12.32,9.35000000000001,11.7
"CT502","CamdenTown","1",-0.16116204075292,0.42642852985079,37.7216602799788,35.2,1.92,0.0387,0.339,0.00656,0.287,69.67,15.15,7.19,12.9
"CT503","CamdenTown","1",-0.21463154027714,0.485634794875919,40.3016083843987,37.7,1.91,0.0428,0.37,0.0139,0.181,72.93,21.23,6.31999999999999,15.5
"CT504","CamdenTown","1",0.0857160028155069,0.302658707428299,20.0477908572637,19.6,1.79,0.0318,0.462,0.0182,0.177,62.28,8.98999999999999,7.76000000000001,12.8
"CT505","CamdenTown","1",-0.185678481931117,0.424628937671494,37.6852196982505,35.7,1.88,0.0355,0.34,0.0114,0.267,68.39,17.59,6.55,12.5
"CT506","CamdenTown","1",0.0608483749740958,0.342302959525775,19.7701806533735,19.4,1.66,0.0345,0.334,0.0199,0.257,63.66,8.03,5.73,11.9
"CT507","CamdenTown","1",-0.255102263787711,0.437937298565892,47.5018327171227,41.9,2.06,0.0414,0.332,0.0111,0.226,71.87,15.08,5.61,13.7
"CT508","CamdenTown","1",0.109970959029877,0.264146464612112,18.5376669315365,18.2,1.76,0.031,0.363,0.0201,0.33,60.5,7.81,7.89,11.3
"CT509","CamdenTown","1",-0.061460733461625,0.339589109852982,33.0613698924487,29.2,2.08,0.0382,0.336,0.00663,0.16,67.45,11.18,5.58,12.1
"CT510","CamdenTown","1",0.0443628164189532,0.317022450593776,23.0615815332343,22.3,1.83,0.0386,0.338,0.00553,0.167,65.12,5.84999999999999,7.81,12.2
"CT511","CamdenTown","1",0.0471899890215181,0.307795207923652,24.7662674161383,24.4,1.71,0.0367,0.533,0.00673,0.138,63.5,11.23,11.11,12.7
"CT512","CamdenTown","1",0.0246557344509029,0.314943754372729,24.5512124505876,24.1,1.78,0.0368,0.419,0.00532,0.0816,64.21,10.53,8.96000000000001,13.3
"CT514","CamdenTown","1",-0.0656302534912493,0.369480393428122,30.9852982815147,30.2,1.8,0.041,0.385,0.0127,0.21,67.57,11.75,9.69000000000001,13.7
"CT515","CamdenTown","1",-0.00611938850137667,0.339757031735072,24.958678989981,24.2,1.82,0.0395,0.349,0.00717,0.349,66.14,6.88,6.48,12.4
"CT516","CamdenTown","1",-0.229275030175164,0.179949981660359,43.560702327361,39.3,2,0.0716,0.371,0.0104,0.263,71.66,16.07,5.58,12.8
"CT517","CamdenTown","1",-0.00490507712250854,0.345465763015021,28.5819571141569,25.9,2.01,0.0359,0.463,0.0409,0.385,66.47,10.73,6.78,13.4
"CT518","CamdenTown","1",-0.0617134582215406,0.346290742382175,30.9284772390546,30.3,1.79,0.0323,0.316,0.0105,0.37,64.07,8.97000000000001,10.27,11.4
"CT519","CamdenTown","1",-0.163447462396761,0.410524060657435,39.7778625012536,37.8,1.87,0.0413,0.434,0.00729,0.17,69.62,16.17,10.9,13.2
"CT520","CamdenTown","1",0.0128255181076023,0.353945164181129,26.0083896882318,24.8,1.87,0.038,0.355,0.00655,0.153,66.5,9.16,8.2,13.4
"CT522","CamdenTown","1",-0.0123239155963007,0.264591586157258,28.9316619008551,26.6,1.97,0.045,0.344,0.00494,0.114,66.18,8.20999999999999,7.47999999999999,12.7
"CT523","CamdenTown","1",-0.0881006608953424,0.302903727397648,46.0689586320754,37.3,2.31,0.049,0.4,0.00919,0.312,71.03,9.74,8.94,14.8
"CT525","CamdenTown","1",-0.071914510204916,0.369892101793472,37.8506512505366,33.8,2.04,0.0392,0.35,0.00741,0.295,68.61,10.61,10.49,13.6
"CT526","CamdenTown","1",0.0563671861894648,0.336029236956854,23.634266399007,23.2,1.74,0.04,0.435,0.0155,0.157,65.65,6.38,10.19,14.8
"CT529","CamdenTown","1",0.1821838391793,0.258531049212357,15.5533303059216,15.3,1.54,0.033,0.355,0.00704,0.233,59.51,6.3,9.65,11.5
"CT530","CamdenTown","1",-0.0997832536260876,0.396382573521119,31.6359675917563,31.1,1.77,0.0399,0.391,0.00921,0.126,67.99,10.91,8.55000000000001,14.6
